postal_code,post_office,upazila,district,division
1360,Demra,Demra,Dhaka,Dhaka
1362,Matuail,Demra,Dhaka,Dhaka
1361,Sarulia,Demra,Dhaka,Dhaka
1206,Dhaka Cantonment TSO,Dhaka Cantt.,Dhaka,Dhaka
1350,Dhamrai,Dhamrai,Dhaka,Dhaka
1351,Kamalpur,Dhamrai,Dhaka,Dhaka
1209,Jigatala TSO,Dhanmondi,Dhaka,Dhaka
1213,Banani TSO,Gulshan,Dhaka,Dhaka
1212,Gulshan Model Town,Gulshan,Dhaka,Dhaka
1232,Dhania TSO,Jatrabari,Dhaka,Dhaka
1330,Joypara,Joypara,Dhaka,Dhaka
1332,Narisha,Joypara,Dhaka,Dhaka
1331,Palamganj,Joypara,Dhaka,Dhaka
1312,Ati,Keraniganj,Dhaka,Dhaka
1311,Dhaka Jute Mills,Keraniganj,Dhaka,Dhaka
1313,Kalatia,Keraniganj,Dhaka,Dhaka
1310,Keraniganj,Keraniganj,Dhaka,Dhaka
1219,Khilgaon TSO,Khilgaon,Dhaka,Dhaka
1229,Khilkhet TSO,Khilkhet,Dhaka,Dhaka
1211,Posta TSO,Lalbag,Dhaka,Dhaka
1216,Mirpur TSO,Mirpur,Dhaka,Dhaka
1207,Mohammadpur Housing,Mohammadpur,Dhaka,Dhaka
1225,Sangsad Bhaban TSO,Mohammadpur,Dhaka,Dhaka
1222,Bangabhaban TSO,Motijheel,Dhaka,Dhaka
1223,Dilkusha TSO,Motijheel,Dhaka,Dhaka
1323,Agla,Nawabganj,Dhaka,Dhaka
1325,Churain,Nawabganj,Dhaka,Dhaka
1322,Daudpur,Nawabganj,Dhaka,Dhaka
1321,Hasnabad,Nawabganj,Dhaka,Dhaka
1324,Khalpar,Nawabganj,Dhaka,Dhaka
1320,Nawabganj,Nawabganj,Dhaka,Dhaka
1205,New Market TSO,New market,Dhaka,Dhaka
1000,Dhaka GPO,Palton,Dhaka,Dhaka
1217,Shantinagr TSO,Ramna,Dhaka,Dhaka
1214,Basabo TSO,Sabujbag,Dhaka,Dhaka
1348,Amin Bazar,Savar,Dhaka,Dhaka
1341,Dairy Farm,Savar,Dhaka,Dhaka
1349,EPZ,Savar,Dhaka,Dhaka
1342,Jahangirnagar University,Savar,Dhaka,Dhaka
1346,Kashem Cotton Mills,Savar,Dhaka,Dhaka
1347,Rajphulbaria,Savar,Dhaka,Dhaka
1340,Savar,Savar,Dhaka,Dhaka
1344,Savar Canttonment,Savar,Dhaka,Dhaka
1343,Saver P.A.T.C,Savar,Dhaka,Dhaka
1345,Shimulia,Savar,Dhaka,Dhaka
1100,Dhaka Sadar HO,Sutrapur,Dhaka,Dhaka
1204,Gendaria TSO,Sutrapur,Dhaka,Dhaka
1203,Wari TSO,Sutrapur,Dhaka,Dhaka
1215,Tejgaon TSO,Tejgaon,Dhaka,Dhaka
1208,Dhaka Politechnic,Tejgaon Industrial Area,Dhaka,Dhaka
1230,Uttara Model Twon TSO,Uttara,Dhaka,Dhaka
7870,Alfadanga,Alfadanga,Faridpur,Dhaka
7830,Bhanga,Bhanga,Faridpur,Dhaka
7860,Boalmari,Boalmari,Faridpur,Dhaka
7861,Rupatpat,Boalmari,Faridpur,Dhaka
7810,Charbadrashan,Charbhadrasan,Faridpur,Dhaka
7802,Ambikapur,Faridpur Sadar,Faridpur,Dhaka
7803,Baitulaman Politecni,Faridpur Sadar,Faridpur,Dhaka
7800,Faridpursadar,Faridpur Sadar,Faridpur,Dhaka
7801,Kanaipur,Faridpur Sadar,Faridpur,Dhaka
7851,Kamarkali,Madukhali,Faridpur,Dhaka
7850,Madukhali,Madukhali,Faridpur,Dhaka
7840,Nagarkanda,Nagarkanda,Faridpur,Dhaka
7841,Talma,Nagarkanda,Faridpur,Dhaka
7822,Bishwa jaker Manjil,Sadarpur,Faridpur,Dhaka
7821,Hat Krishapur,Sadarpur,Faridpur,Dhaka
